variable,stable_n,stable_mean_sd,stable_median_iqr,prog_n,prog_mean_sd,prog_median_iqr,SMD
age,105,73.7 ± 7.14,"73.8 [69.6, 77.2]",34,74.8 ± 6.1,"74 [71.5, 78.2]",-0.173
APOE4_COUNT,104,0.577 ± 0.692,"0 [0, 1]",33,0.727 ± 0.674,"1 [0, 1]",-0.22
ptau217,105,0.27 ± 0.246,"0.184 [0.11, 0.356]",34,0.581 ± 0.358,"0.591 [0.321, 0.695]",-1.013
abeta42,105,25.2 ± 7.53,"25.1 [21.1, 29.2]",32,23.9 ± 6.41,"23.9 [21, 27.1]",0.192
abeta40,105,299 ± 76,"309 [263, 328]",32,300 ± 82.6,"294 [261, 340]",-0.014
ratio_ab42_ab40,105,0.0845 ± 0.0115,"0.084 [0.0753, 0.0929]",32,0.0802 ± 0.00698,"0.0803 [0.077, 0.0836]",0.456
nfl,105,25.6 ± 23.5,"20.7 [15.5, 29.4]",34,31.7 ± 17.6,"29.2 [20.5, 33.3]",-0.293
gfap,105,185 ± 97.5,"170 [114, 238]",34,267 ± 140,"240 [195, 300]",-0.687
CDRSB,72,1.5 ± 1.21,"1 [0.875, 2]",20,2.83 ± 2.17,"2 [1.5, 3.12]",-0.753
FAQTOTAL,100,3.16 ± 4.04,"1 [0, 5]",33,7.21 ± 5.5,"6 [3, 10]",-0.839
MMSCORE,99,27.7 ± 1.98,"28 [27, 29]",32,25.9 ± 2.15,"26 [25, 27]",0.846
MOCA,68,23.2 ± 3.14,"24 [21, 25.2]",17,18.9 ± 4.23,"19 [17, 22]",1.173
