variable,event_n,event_mean_sd,event_median_iqr,censored_n,censored_mean_sd,censored_median_iqr,SMD
entry_age,85,75.2 ± 6.56,"75.5 [70.9, 79.9]",316,71.8 ± 7.3,"72 [66.9, 77.2]",0.484
age_at_anchor_approx,85,75.7 ± 6.88,"75.7 [70.9, 80.7]",316,74.3 ± 8.48,"74.5 [68.2, 80]",0.183
APOE4_COUNT,85,0.671 ± 0.643,"1 [0, 1]",316,0.541 ± 0.682,"0 [0, 1]",0.195
ptau217,85,0.517 ± 0.384,"0.474 [0.241, 0.68]",316,0.286 ± 0.272,"0.172 [0.104, 0.372]",0.693
gfap,85,238 ± 128,"211 [154, 281]",276,188 ± 120,"168 [112, 230]",0.407
nfl,85,30.7 ± 24.4,"25.8 [19.7, 32.3]",276,23.2 ± 15.1,"19.6 [13.9, 27.9]",0.371
abeta42,83,23.2 ± 6.81,"23.2 [20.2, 27.1]",316,26.9 ± 6.4,"26.8 [22.5, 30.3]",-0.568
abeta40,83,291 ± 83.3,"291 [252, 338]",316,315 ± 68.1,"311 [274, 349]",-0.321
ratio_ab42_ab40,83,0.0802 ± 0.00755,"0.0802 [0.0749, 0.0845]",316,0.086 ± 0.0125,"0.0852 [0.0769, 0.0957]",-0.564
CDRSB,50,2.29 ± 1.66,"2 [1.5, 2.5]",264,1.38 ± 1.03,"1 [0.5, 2]",0.66
FAQTOTAL,81,5.73 ± 4.89,"5 [2, 8]",289,2.65 ± 3.82,"1 [0, 4]",0.701
MMSCORE,81,26.5 ± 2.12,"27 [26, 28]",273,27.7 ± 1.99,"28 [26, 29]",-0.581
MOCA,41,20.3 ± 3.65,"21 [18, 23]",272,23.5 ± 3.08,"24 [22, 25]",-0.941
