canonical_column	variable_name	role	source_table	source_field	assay_platform	unit	data_type	available_n_survival	missing_n_survival	pct_available_survival	available_event_n	missing_event_n	available_n_primary	event_n_among_available_primary	n_sentinel_in_source_table	n_negative_in_source_table	n_sentinel_removed	n_nonpositive_removed	n_invalid_removed_total	n_zero_retained	n_negative_retained	n_infinite	n_undefined_ratio	minimum	q1	median	q3	maximum	n_duplicated_participant_values	n_duplicated_source_rows_collapsed	n_post_anchor_offset	max_positive_offset_days	timing_source	timing_available
entry_age	Age at study entry	PRIMARY	My_Table	entry_age		years	float	410	0	100.0	86	0	401	85	0	0	0	0	0	0	0	0	0	55.46	67.49249999999999	72.625	77.5	90.04	0				NONE — My_Table carries no datestamp	NO — age-at-anchor is NOT reconstructable; no offset is fabricated
APOE4_COUNT	APOE e4 allele count	PRIMARY	APOERES	GENOTYPE -> count of '4'		0-2 alleles	float(int-valued)	401	9	97.8	85	1	401	85	0	0	0	0	0	215	0	0	0	0.0	0.0	0.0	1.0	2.0	0				time-invariant (germline genotype)	N/A — time-invariant
ptau217	pT217_F	PRIMARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	pT217_F	Fujirebio	pg/mL	float	410	0	100.0	86	0	401	85	0	0	0	0	0	0	0	0	0	0.03	0.11925	0.2095	0.47475	2.432	0				plasma anchor draw (the anchor row itself)	YES — offset = 0 by construction
gfap	GFAP_Q	SECONDARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	GFAP_Q	Quanterix	pg/mL	float	367	43	89.5	86	0	361	85	451	451	43	0	43	0	0	0	0	31.6	118.0	178.3	250.60000000000002	1291.0	0				plasma anchor draw (the anchor row itself)	YES — offset = 0 by construction
nfl	NfL_Q	SECONDARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	NfL_Q	Quanterix	pg/mL	float	367	43	89.5	86	0	361	85	451	451	43	0	43	0	0	0	0	5.09	14.7	20.6	29.65	208.0	0				plasma anchor draw (the anchor row itself)	YES — offset = 0 by construction
abeta42	AB42_F	SECONDARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	AB42_F	Fujirebio	pg/mL	float	408	2	99.5	84	2	399	83	6	6	2	0	2	0	0	0	0	3.84	21.6775	26.240000000000002	29.939999999999998	59.9	0				plasma anchor draw (the anchor row itself)	YES — offset = 0 by construction
abeta40	AB40_F	SECONDARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	AB40_F	Fujirebio	pg/mL	float	408	2	99.5	84	2	399	83	5	5	2	0	2	0	0	0	0	46.89	269.515	307.935	346.95	643.31	0				plasma anchor draw (the anchor row itself)	YES — offset = 0 by construction
ratio_ab42_ab40	Ab42/Ab40 ratio (recomputed)	SECONDARY	UPENN_PLASMA_FUJIREBIO_QUANTERIX	AB42_F / AB40_F	Fujirebio (both components)	ratio (dimensionless)	float	408	2	99.5	84	2	399	83	0	0	0	0	0	0	0	0	0	0.0516703243111436	0.07600958441752617	0.08383637924196854	0.09289870260589594	0.1346733668341708	0				plasma anchor draw (both components from the SAME raw row)	YES — offset = 0 by construction
ptau181_qx	p-tau181 (Quanterix / SIMOA)	SECONDARY (NOT in frozen pipeline)	FNIHBC_BLOOD_BIOMARKER_TRAJECTORIES	TESTVALUE where PLASMA_BIOMARKER=='QX_plasma_ptau181'	Quanterix / SIMOA	pg/mL	float	1	409	0.2	1	85	1	1	0	0	0	0	0	0	0	0	0	35.3	35.3	35.3	35.3	35.3	0				FNIHBC EXAMDATE, nearest within +/-90d of the anchor	YES (dated)
ptau181_roche	p-tau181 (Roche Elecsys)	SECONDARY (NOT in frozen pipeline)	FNIHBC_BLOOD_BIOMARKER_TRAJECTORIES	TESTVALUE where PLASMA_BIOMARKER=='Roche_plasma_ptau181'	Roche Elecsys	pg/mL	float	3	407	0.7	1	85	3	1	0	0	0	0	0	0	0	0	0	1.19	1.41	1.63	1.8399999999999999	2.05	0				FNIHBC EXAMDATE, nearest within +/-90d of the anchor	YES (dated)
CDRSB	CDRSB — global severity / staging	SECONDARY / cognition	CDR	CDRSB		0-18 (sum of boxes)	float	321	89	78.3	51	35	314	50	0	0	0	0	0	21	0	0	0	0.0	0.5	1.0	2.0	11.0	0	2.0	15.0	83.0	CDR.VISDATE, nearest within +/-90d of the anchor	YES (dated)
MMSCORE	MMSCORE — global cognition	SECONDARY / cognition	MMSE	MMSCORE		0-30	float	361	49	88.0	82	4	354	81	0	14	0	0	0	0	0	0	0	19.0	26.0	28.0	29.0	30.0	0	6.0	17.0	83.0	MMSE.VISDATE, nearest within +/-90d of the anchor	YES (dated)
MOCA	MOCA — global cognition	SECONDARY / cognition	MOCA	MOCA		0-30	float	322	88	78.5	42	44	313	41	0	0	0	0	0	0	0	0	0	11.0	21.0	23.0	25.0	30.0	0	0.0	24.0	49.0	MOCA.VISDATE, nearest within +/-90d of the anchor	YES (dated)
FAQTOTAL	FAQTOTAL — functional status	SECONDARY / cognition	FAQ	FAQTOTAL		0-30	float	379	31	92.4	82	4	370	81	0	32	0	0	0	132	0	0	0	0.0	0.0	2.0	5.0	27.0	0	12.0	51.0	88.0	FAQ.VISDATE, nearest within +/-90d of the anchor	YES (dated)
CDMEMORY (audit-only)	CDMEMORY — MEMORY (box score)	CANDIDATE (tier-2, NOT in frozen pipeline)	CDR	CDMEMORY		0-3 (box)	float	321	89	78.3	51	35	314	50	0	5	0	0	0	31	0	0	0	0.0	0.5	0.5	0.5	2.0	0	2.0	15.0	83.0	CDR.VISDATE, nearest within +/-90d of the anchor	YES (dated)
CDJUDGE (audit-only)	CDJUDGE — EXECUTIVE proxy (judgement & problem-solving box)	CANDIDATE (tier-2, NOT in frozen pipeline)	CDR	CDJUDGE		0-3 (box)	float	321	89	78.3	51	35	314	50	0	5	0	0	0	120	0	0	0	0.0	0.0	0.5	0.5	2.0	0	2.0	15.0	83.0	CDR.VISDATE, nearest within +/-90d of the anchor	YES (dated)
