model_id	model_label	required_variables	timing_rule	complete_case_n	event_n	censored_n	pct_of_survival_410	n_lost_total	n_lost_by_variable	median_followup_days	q1_followup_days	q3_followup_days	n_fu_le_30	n_fu_le_90	n_fu_le_180	n_fu_le_365	notes
M1	age + APOE4	entry_age|APOE4_COUNT	n/a	401	85	316	97.8	9	entry_age=0|APOE4_COUNT=9	425.0	285.0	1121.0	60	78	93	136	
M2	age + APOE4 + p-tau217	entry_age|APOE4_COUNT|ptau217	n/a	401	85	316	97.8	9	entry_age=0|APOE4_COUNT=9|ptau217=0	425.0	285.0	1121.0	60	78	93	136	PRIMARY MODEL — must equal the frozen primary cohort
M3	age + APOE4 + p-tau181 (Quanterix)	entry_age|APOE4_COUNT|ptau181_qx	n/a	1	1	0	0.2	409	entry_age=0|APOE4_COUNT=9|ptau181_qx=409	1101.0	1101.0	1101.0	0	0	0	0	p-tau181 NOT in frozen pipeline; platforms never combined
M4	age + APOE4 + p-tau181 (Roche)	entry_age|APOE4_COUNT|ptau181_roche	n/a	3	1	2	0.7	407	entry_age=0|APOE4_COUNT=9|ptau181_roche=407	1101.0	568.5	1902.0	0	1	1	1	p-tau181 NOT in frozen pipeline; platforms never combined
M5	age + APOE4 + p-tau217 + GFAP	entry_age|APOE4_COUNT|ptau217|gfap	n/a	361	85	276	88.0	49	entry_age=0|APOE4_COUNT=9|ptau217=0|gfap=43	547.0	364.0	1246.0	37	50	54	96	
M6	age + APOE4 + p-tau217 + Ab42/Ab40	entry_age|APOE4_COUNT|ptau217|ratio_ab42_ab40	n/a	399	83	316	97.3	11	entry_age=0|APOE4_COUNT=9|ptau217=0|ratio_ab42_ab40=2	425.0	292.5	1121.5	60	78	93	135	
M7_CDRSB	age + APOE4 + CDRSB	entry_age|APOE4_COUNT|CDRSB__nearest_pm90	nearest_pm90	314	50	264	76.6	96	entry_age=0|APOE4_COUNT=9|CDRSB__nearest_pm90=89	393.5	193.5	1100.0	52	67	78	114	
M8_CDRSB	age + APOE4 + p-tau217 + CDRSB	entry_age|APOE4_COUNT|ptau217|CDRSB__nearest_pm90	nearest_pm90	314	50	264	76.6	96	entry_age=0|APOE4_COUNT=9|ptau217=0|CDRSB__nearest_pm90=89	393.5	193.5	1100.0	52	67	78	114	
M7_CDRSB	age + APOE4 + CDRSB	entry_age|APOE4_COUNT|CDRSB__on_or_before_pm90	on_or_before_pm90	299	50	249	72.9	111	entry_age=0|APOE4_COUNT=9|CDRSB__on_or_before_pm90=104	404.0	336.0	1103.0	49	64	67	103	
M8_CDRSB	age + APOE4 + p-tau217 + CDRSB	entry_age|APOE4_COUNT|ptau217|CDRSB__on_or_before_pm90	on_or_before_pm90	299	50	249	72.9	111	entry_age=0|APOE4_COUNT=9|ptau217=0|CDRSB__on_or_before_pm90=104	404.0	336.0	1103.0	49	64	67	103	
M7_CDRSB	age + APOE4 + CDRSB	entry_age|APOE4_COUNT|CDRSB__within_pm30	within_pm30	178	26	152	43.4	232	entry_age=0|APOE4_COUNT=9|CDRSB__within_pm30=230	387.0	232.2	1076.5	35	41	43	64	
M8_CDRSB	age + APOE4 + p-tau217 + CDRSB	entry_age|APOE4_COUNT|ptau217|CDRSB__within_pm30	within_pm30	178	26	152	43.4	232	entry_age=0|APOE4_COUNT=9|ptau217=0|CDRSB__within_pm30=230	387.0	232.2	1076.5	35	41	43	64	
M7_CDRSB	age + APOE4 + CDRSB	entry_age|APOE4_COUNT|CDRSB__same_day_only	same_day_only	75	3	72	18.3	335	entry_age=0|APOE4_COUNT=9|CDRSB__same_day_only=335	377.0	35.5	523.0	18	23	23	29	
M8_CDRSB	age + APOE4 + p-tau217 + CDRSB	entry_age|APOE4_COUNT|ptau217|CDRSB__same_day_only	same_day_only	75	3	72	18.3	335	entry_age=0|APOE4_COUNT=9|ptau217=0|CDRSB__same_day_only=335	377.0	35.5	523.0	18	23	23	29	
M7_MMSCORE	age + APOE4 + MMSCORE	entry_age|APOE4_COUNT|MMSCORE__nearest_pm90	nearest_pm90	354	81	273	86.3	56	entry_age=0|APOE4_COUNT=9|MMSCORE__nearest_pm90=49	427.5	335.5	1120.5	52	65	78	119	
